round,boxer,punch_type,outcome,mayweather,pacquiao,jab,power,landed,missed
1,Mayweather,jab,landed,1,0,1,0,1,0
1,Mayweather,jab,landed,1,0,1,0,1,0
1,Mayweather,jab,landed,1,0,1,0,1,0
1,Mayweather,jab,landed,1,0,1,0,1,0
1,Mayweather,jab,landed,1,0,1,0,1,0
1,Mayweather,jab,missed,1,0,1,0,0,1
1,Mayweather,jab,missed,1,0,1,0,0,1
0,Mayweather,jab,missed,1,0,1,0,0,1
1,Mayweather,jab,missed,1,0,1,0,0,1
1,Mayweather,jab,missed,1,0,1,0,0,1
1,Mayweather,jab,missed,1,0,1,0,0,1
1,Mayweather,jab,missed,1,0,1,0,0,1
1,Mayweather,jab,missed,1,0,1,0,0,1
1,Mayweather,jab,missed,1,0,1,0,0,1
1,Mayweather,jab,missed,1,0,1,0,0,1
1,Mayweather,jab,missed,1,0,1,0,0,1
1,Mayweather,jab,missed,1,0,1,0,0,1
1,Mayweather,jab,missed,1,0,1,0,0,1
1,Mayweather,jab,missed,1,0,1,0,0,1
1,Mayweather,jab,missed,1,0,1,0,0,1
1,Mayweather,jab,missed,1,0,1,0,0,1
1,Mayweather,jab,missed,1,0,1,0,0,1
1,Mayweather,jab,missed,1,0,1,0,0,1
1,Mayweather,jab,missed,1,0,1,0,0,1
1,Mayweather,jab,missed,1,0,1,0,0,1
1,Mayweather,jab,missed,1,0,1,0,0,1
1,Mayweather,jab,missed,1,0,1,0,0,1
1,Mayweather,jab,missed,1,0,1,0,0,1
1,Mayweather,power,landed,1,0,0,1,1,0
1,Mayweather,power,landed,1,0,0,1,1,0
1,Mayweather,power,landed,1,0,0,1,1,0
1,Mayweather,power,missed,1,0,0,1,0,1
1,Mayweather,power,missed,1,0,0,1,0,1
1,Mayweather,power,missed,1,0,0,1,0,1
1,Mayweather,power,missed,1,0,0,1,0,1
1,Mayweather,power,missed,1,0,0,1,0,1
2,Mayweather,jab,landed,1,0,1,0,1,0
2,Mayweather,jab,landed,1,0,1,0,1,0
2,Mayweather,jab,landed,1,0,1,0,1,0
2,Mayweather,jab,landed,1,0,1,0,1,0
2,Mayweather,jab,landed,1,0,1,0,1,0
2,Mayweather,jab,missed,1,0,1,0,0,1
2,Mayweather,jab,missed,1,0,1,0,0,1
2,Mayweather,jab,missed,1,0,1,0,0,1
2,Mayweather,jab,missed,1,0,1,0,0,1
2,Mayweather,jab,missed,1,0,1,0,0,1
2,Mayweather,jab,missed,1,0,1,0,0,1
2,Mayweather,jab,missed,1,0,1,0,0,1
2,Mayweather,jab,missed,1,0,1,0,0,1
2,Mayweather,jab,missed,1,0,1,0,0,1
2,Mayweather,power,landed,1,0,0,1,1,0
2,Mayweather,power,landed,1,0,0,1,1,0
2,Mayweather,power,landed,1,0,0,1,1,0
2,Mayweather,power,landed,1,0,0,1,1,0
2,Mayweather,power,landed,1,0,0,1,1,0
2,Mayweather,power,landed,1,0,0,1,1,0
2,Mayweather,power,missed,1,0,0,1,0,1
2,Mayweather,power,missed,1,0,0,1,0,1
2,Mayweather,power,missed,1,0,0,1,0,1
2,Mayweather,power,missed,1,0,0,1,0,1
2,Mayweather,power,missed,1,0,0,1,0,1
2,Mayweather,power,missed,1,0,0,1,0,1
2,Mayweather,power,missed,1,0,0,1,0,1
2,Mayweather,power,missed,1,0,0,1,0,1
2,Mayweather,power,missed,1,0,0,1,0,1
2,Mayweather,power,missed,1,0,0,1,0,1
2,Mayweather,power,missed,1,0,0,1,0,1
2,Mayweather,power,missed,1,0,0,1,0,1
3,Mayweather,jab,landed,1,0,1,0,1,0
3,Mayweather,jab,landed,1,0,1,0,1,0
3,Mayweather,jab,landed,1,0,1,0,1,0
3,Mayweather,jab,landed,1,0,1,0,1,0
3,Mayweather,jab,missed,1,0,1,0,0,1
3,Mayweather,jab,missed,1,0,1,0,0,1
3,Mayweather,jab,missed,1,0,1,0,0,1
3,Mayweather,jab,missed,1,0,1,0,0,1
3,Mayweather,jab,missed,1,0,1,0,0,1
3,Mayweather,jab,missed,1,0,1,0,0,1
3,Mayweather,jab,missed,1,0,1,0,0,1
3,Mayweather,jab,missed,1,0,1,0,0,1
3,Mayweather,power,landed,1,0,0,1,1,0
3,Mayweather,power,landed,1,0,0,1,1,0
3,Mayweather,power,landed,1,0,0,1,1,0
3,Mayweather,power,landed,1,0,0,1,1,0
3,Mayweather,power,landed,1,0,0,1,1,0
3,Mayweather,power,landed,1,0,0,1,1,0
3,Mayweather,power,landed,1,0,0,1,1,0
3,Mayweather,power,landed,1,0,0,1,1,0
3,Mayweather,power,landed,1,0,0,1,1,0
3,Mayweather,power,landed,1,0,0,1,1,0
3,Mayweather,power,landed,1,0,0,1,1,0
3,Mayweather,power,missed,1,0,0,1,0,1
3,Mayweather,power,missed,1,0,0,1,0,1
3,Mayweather,power,missed,1,0,0,1,0,1
3,Mayweather,power,missed,1,0,0,1,0,1
4,Mayweather,jab,landed,1,0,1,0,1,0
4,Mayweather,jab,landed,1,0,1,0,1,0
4,Mayweather,jab,landed,1,0,1,0,1,0
4,Mayweather,jab,missed,1,0,1,0,0,1
4,Mayweather,jab,missed,1,0,1,0,0,1
4,Mayweather,jab,missed,1,0,1,0,0,1
4,Mayweather,jab,missed,1,0,1,0,0,1
4,Mayweather,jab,missed,1,0,1,0,0,1
4,Mayweather,jab,missed,1,0,1,0,0,1
4,Mayweather,jab,missed,1,0,1,0,0,1
4,Mayweather,jab,missed,1,0,1,0,0,1
4,Mayweather,jab,missed,1,0,1,0,0,1
4,Mayweather,jab,missed,1,0,1,0,0,1
4,Mayweather,jab,missed,1,0,1,0,0,1
4,Mayweather,jab,missed,1,0,1,0,0,1
4,Mayweather,jab,missed,1,0,1,0,0,1
4,Mayweather,jab,missed,1,0,1,0,0,1
4,Mayweather,jab,missed,1,0,1,0,0,1
4,Mayweather,jab,missed,1,0,1,0,0,1
4,Mayweather,jab,missed,1,0,1,0,0,1
4,Mayweather,jab,missed,1,0,1,0,0,1
4,Mayweather,jab,missed,1,0,1,0,0,1
4,Mayweather,power,landed,1,0,0,1,1,0
4,Mayweather,power,landed,1,0,0,1,1,0
4,Mayweather,power,landed,1,0,0,1,1,0
4,Mayweather,power,landed,1,0,0,1,1,0
4,Mayweather,power,missed,1,0,0,1,0,1
