Salary,Name,POS,Bats,Throws,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
510000.00,Joc Pederson,OF,L,,Dodgers,151,585,26,67,54,4,15.70%,29.10%,0.206,0.262,0.21,0.346,0.417,0.335,115,-0.1,10.3,-1.8,2.8,11899
512500.00,Stephen Vogt,1B,L,,Athletics,136,511,18,58,71,0,11.00%,19.00%,0.182,0.29,0.261,0.341,0.443,0.335,115,-4.4,4.4,0.4,2.3,5000
3550000.00,Wilson Ramos,C,R,,Nationals,128,504,15,41,68,0,4.20%,20.00%,0.128,0.256,0.229,0.258,0.358,0.265,63,-1.6,-23.5,11.1,0.4,1433
31000000.00,Clayton Kershaw,SP,,L,,,,,,,,,,,,,,,,,,,,8.6,
15000000.00,Jhonny Peralta,SS,R,,Cardinals,155,640,17,64,71,1,7.80%,17.30%,0.136,0.311,0.275,0.334,0.411,0.323,105,-6.6,-3.1,-0.8,1.7,1738
2000000.00,Carlos Villanueva,Reliever,,R,Cardinals,,,,,,,,,,,,,,,,,,,0.2,
4800000.00,Trevor Plouffe,3B,R,,Twins,152,632,22,74,86,2,7.90%,19.60%,0.19,0.274,0.244,0.307,0.435,0.321,102,-1.9,-0.7,3.5,2.5,7462
6083333.00,Mike Trout,OF,R,,Angels,159,682,41,104,90,11,13.50%,23.20%,0.29,0.344,0.299,0.402,0.59,0.415,172,3.3,60.4,2.1,9,10155
7500000.00,Asdrubal Cabrera,SS,S,,Rays,143,551,15,66,58,6,6.50%,19.40%,0.164,0.306,0.265,0.315,0.43,0.319,104,0.5,3.3,-0.5,2.2,4962
8000000.00,Marlon Byrd,OF,R,,- - -,135,544,23,58,73,2,5.30%,26.70%,0.206,0.297,0.247,0.29,0.453,0.317,100,0.6,0.3,-7.8,1,950
13111111.00,Ryan Braun,OF,R,,Brewers,140,568,25,87,84,24,9.50%,20.20%,0.213,0.322,0.285,0.356,0.498,0.366,129,1.9,21.2,-12.2,2.8,3410
16000000.00,David Ortiz,1B,L,,Red Sox,146,614,37,73,108,0,12.50%,15.50%,0.28,0.264,0.273,0.36,0.553,0.379,138,-5.2,21.6,-15.2,2.8,745
531500.00,Bryan Morris,Reliever,,R,Marlins,,,,,,,,,,,,,,,,,,,0.2,
7100000.00,Cameron Maybin,OF,R,,Braves,141,555,10,65,59,23,8.10%,18.40%,0.103,0.316,0.267,0.327,0.37,0.307,94,1.5,-2.6,-5.3,1,5223
531000.00,Jeff Locke,SP,,L,,,,,,,,,,,,,,,,,,,,1.6,
545000.00,Derek Norris,C,R,,Padres,147,557,14,65,62,4,6.30%,23.50%,0.153,0.31,0.25,0.305,0.404,0.309,98,-0.9,-2,7.7,2.4,6867
12083333.00,Brandon Phillips,2B,R,,Reds,148,623,12,69,70,23,4.30%,10.90%,0.1,0.315,0.294,0.328,0.395,0.315,96,4,1,4.1,2.6,791
509500.00,Jose Alvarez,Reliever,,L,Angels,,,,,,,,,,,,,,,,,,,0.3,
510000.00,Jumbo Diaz,Reliever,,R,Reds,,,,,,,,,,,,,,,,,,,0.3,
515500.00,Arquimedes Caminero,Reliever,,R,Pirates,,,,,,,,,,,,,,,,,,,0.2,
750000.00,Blaine Boyer,Reliever,,R,Twins,,,,,,,,,,,,,,,,,,,0.2,
1750000.00,Tony Watson,Closer,,L,Pirates,,,,,,,,,,,,,,,,,,,1.4,
1940000.00,Trevor Bauer,SP,,R,,,,,,,,,,,,,,,,,,,,1.8,
19750000.00,David Price,SP,,L,,,,,,,,,,,,,,,,,,,,6.4,
20000000.00,Jon Lester,SP,,L,,,,,,,,,,,,,,,,,,,,5,
507500.00,Dellin Betances,Closer,,R,Yankees,,,,,,,,,,,,,,,,,,,2.4,
507500.00,Sam Dyson,Reliever,,R,- - -,,,,,,,,,,,,,,,,,,,1.1,
507500.00,John Lackey,SP,,R,,,,,,,,,,,,,,,,,,,,3.6,
509000.00,Matt Duffy,2B,R,,Giants,149,612,12,77,77,12,4.90%,15.70%,0.133,0.336,0.295,0.334,0.428,0.331,116,4.4,16,11.5,4.9,13836
510000.00,Yimi Garcia,Reliever,,R,Dodgers,,,,,,,,,,,,,,,,,,,0.9,
512000.00,David Peralta,OF,L,,Diamondbacks,149,517,17,61,78,9,8.50%,20.70%,0.21,0.368,0.312,0.371,0.522,0.38,138,3.7,26.7,-7.7,3.7,2136
512500.00,Pedro Baez,Reliever,,R,Dodgers,,,,,,,,,,,,,,,,,,,1.1,
512500.00,Sonny Gray,SP,,R,,,,,,,,,,,,,,,,,,,,3.8,
513000.00,Ender Inciarte,OF,L,,Diamondbacks,132,561,6,73,45,21,4.60%,10.30%,0.105,0.329,0.303,0.338,0.408,0.325,100,3.3,3.6,10,3.3,4922
513543.00,Wilmer Flores,SS,R,,Mets,137,510,16,55,59,0,3.70%,12.40%,0.145,0.273,0.263,0.295,0.408,0.304,95,0,-2.7,4.3,1.9,5827
516300.00,Collin McHugh,SP,,R,,,,,,,,,,,,,,,,,,,,3.9,
516700.00,Josh Fields,Reliever,,R,Astros,,,,,,,,,,,,,,,,,,,1.3,
518400.00,Liam Hendriks,Reliever,,R,Blue Jays,,,,,,,,,,,,,,,,,,,1.5,
524500.00,Dallas Keuchel,SP,,L,,,,,,,,,,,,,,,,,,,,6.1,
556000.00,Justin Wilson,Reliever,,L,Yankees,,,,,,,,,,,,,,,,,,,1.5,
5000000.00,Yunel Escobar,SS,R,,Nationals,139,591,9,75,56,2,7.60%,11.80%,0.101,0.347,0.314,0.375,0.415,0.348,120,-6.4,7.4,-6.1,2.1,4191
16000000.00,Curtis Granderson,OF,L,,Mets,157,682,26,98,70,11,13.30%,22.10%,0.198,0.305,0.259,0.364,0.457,0.357,132,2.5,27.8,-0.7,5.1,4747
507500.00,Andrew Chafin,Reliever,,L,Diamondbacks,,,,,,,,,,,,,,,,,,,0.7,
512800.00,Blake Treinen,Reliever,,R,Nationals,,,,,,,,,,,,,,,,,,,0.4,
5685000.00,Travis Wood,Reliever,,L,Cubs,,,,,,,,,,,,,,,,,,,1.1,
14708333.00,Justin Upton,OF,R,,Padres,150,620,26,85,81,19,11.00%,25.60%,0.203,0.304,0.251,0.336,0.454,0.34,120,4.6,18.8,-4.6,3.6,5222
16000000.00,Adrian Beltre,3B,R,,Rangers,143,619,18,83,83,1,6.60%,10.50%,0.166,0.295,0.287,0.334,0.453,0.337,108,3.9,9.4,13.8,4.6,639
20000000.00,Troy Tulowitzki,SS,R,,- - -,128,534,17,77,70,1,7.10%,21.30%,0.16,0.331,0.28,0.337,0.44,0.335,100,-4,-4,9.1,2.3,3531
27000000.00,Zack Greinke,SP,,R,,,,,,,,,,,,,,,,,,,,5.9,
10000000.00,David Robertson,Closer,,R,White Sox,,,,,,,,,,,,,,,,,,,1.8,
16000000.00,Ian Kinsler,2B,R,,Tigers,154,675,11,94,73,10,6.40%,11.90%,0.131,0.323,0.296,0.342,0.428,0.335,111,0.6,8.9,8.4,4.2,6195
17000000.00,Brian McCann,C,L,,Yankees,135,535,26,68,94,0,9.70%,18.10%,0.204,0.235,0.232,0.32,0.437,0.327,105,-3.2,-0.1,10.2,2.9,4810
17142857.00,Max Scherzer,SP,,R,,,,,,,,,,,,,,,,,,,,6.4,
17277777.00,Buster Posey,C,R,,Giants,150,623,19,74,95,2,9.00%,8.30%,0.153,0.32,0.318,0.379,0.47,0.363,138,-1.8,26,8.2,5.7,9166
22000000.00,Miguel Cabrera,1B,R,,Tigers,119,511,18,64,76,1,15.10%,16.00%,0.196,0.384,0.338,0.44,0.534,0.413,165,-5.1,33.3,-9.2,4.3,1744
24857142.00,Felix Hernandez,SP,,R,,,,,,,,,,,,,,,,,,,,2.8,
2525000.00,Pedro Strop,Reliever,,R,Cubs,,,,,,,,,,,,,,,,,,,1.1,
2835000.00,Shawn Kelley,Reliever,,R,Padres,,,,,,,,,,,,,,,,,,,1,
14250000.00,Nelson Cruz,OF,R,,Mariners,152,655,44,90,93,3,9.00%,25.00%,0.264,0.35,0.302,0.369,0.566,0.396,158,-2.5,41.5,-17.6,4.8,2434
23500000.00,Cole Hamels,SP,,L,,,,,,,,,,,,,,,,,,,,4.2,
509000.00,Luis Garcia,Reliever,,R,Phillies,,,,,,,,,,,,,,,,,,,0.4,
509500.00,Carson Smith,Closer,,R,Mariners,,,,,,,,,,,,,,,,,,,2.1,
510000.00,Marcus Semien,3B,R,,Athletics,155,601,15,65,45,11,7.00%,22.00%,0.147,0.312,0.257,0.31,0.405,0.311,98,1,-0.3,-3.3,1.7,12533
510500.00,Jeremy Jeffress,Reliever,,R,Brewers,,,,,,,,,,,,,,,,,,,0.8,
512000.00,Kevin Pillar,OF,R,,Blue Jays,159,628,12,76,56,25,4.50%,13.50%,0.121,0.306,0.278,0.314,0.399,0.31,93,8.1,3.2,16.6,4.3,12434
512500.00,Will Smith,Reliever,,L,Brewers,,,,,,,,,,,,,,,,,,,1.4,
513800.00,Kevin Kiermaier,OF,L,,Rays,151,535,10,62,40,18,4.50%,17.80%,0.156,0.306,0.263,0.298,0.42,0.309,98,3.5,2.2,32,5.5,11038
513900.00,Will Harris,Reliever,,R,Astros,,,,,,,,,,,,,,,,,,,0.5,
514500.00,Mookie Betts,OF,R,,Red Sox,145,654,18,92,77,21,7.00%,12.50%,0.188,0.31,0.291,0.341,0.479,0.351,119,8.3,22.5,1.3,4.8,13611
516400.00,Yangervis Solarte,3B,S,,Padres,152,571,14,63,63,1,6.00%,9.80%,0.158,0.279,0.27,0.32,0.428,0.324,109,-4.5,1.6,-3.9,1.6,5352
519500.00,A.J. Pollock,OF,R,,Diamondbacks,157,673,20,111,76,39,7.90%,13.20%,0.182,0.338,0.315,0.367,0.498,0.371,132,7,32.1,8.7,6.6,9256
520400.00,Zach McAllister,Reliever,,R,Indians,,,,,,,,,,,,,,,,,,,0.9,
522000.00,Jake Odorizzi,SP,,R,,,,,,,,,,,,,,,,,,,,2.9,
523000.00,Brad Brach,Reliever,,R,Orioles,,,,,,,,,,,,,,,,,,,0.9,
523000.00,Dan Jennings,Reliever,,L,White Sox,,,,,,,,,,,,,,,,,,,0.5,
523925.00,Jeurys Familia,Closer,,R,Mets,,,,,,,,,,,,,,,,,,,1.6,
525000.00,Gregory Polanco,OF,L,,Pirates,153,652,9,83,52,27,8.40%,18.60%,0.125,0.308,0.256,0.32,0.381,0.304,94,5.3,1,0.3,2.3,12907
526000.00,Randall Delgado,Reliever,,R,Diamondbacks,,,,,,,,,,,,,,,,,,,0.4,
530500.00,Brock Holt,OF,L,,Red Sox,129,509,2,56,45,8,9.00%,19.10%,0.099,0.35,0.28,0.349,0.379,0.322,98,4.3,3.2,2.5,2.4,9345
531000.00,Gerrit Cole,SP,,R,,,,,,,,,,,,,,,,,,,,5.4,
531500.00,Justin Grimm,Reliever,,R,Cubs,,,,,,,,,,,,,,,,,,,0.6,
531875.00,Jacob deGrom,SP,,R,,,,,,,,,,,,,,,,,,,,5.2,
535000.00,Trevor Rosenthal,Closer,,R,Cardinals,,,,,,,,,,,,,,,,,,,2,
535000.00,Shelby Miller,SP,,R,,,,,,,,,,,,,,,,,,,,3.4,
537500.00,Kole Calhoun,OF,L,,Angels,159,686,26,78,83,4,6.60%,23.90%,0.167,0.304,0.256,0.308,0.422,0.317,105,3.1,6.9,6.6,3.8,11200
544000.00,Hector Rondon,Closer,,R,Cubs,,,,,,,,,,,,,,,,,,,1.6,
547100.00,Cody Allen,Closer,,R,Indians,,,,,,,,,,,,,,,,,,,2.6,
560000.00,Adam Eaton,OF,L,,White Sox,153,689,14,98,56,18,8.40%,19.00%,0.144,0.345,0.287,0.361,0.431,0.346,118,5.5,20.2,-8.8,3.6,11205
582125.00,Carlos Torres,Reliever,,R,Mets,,,,,,,,,,,,,,,,,,,0.4,
651000.00,Christian Yelich,OF,L,,Marlins,126,525,7,63,44,16,9.00%,19.20%,0.116,0.37,0.3,0.366,0.416,0.343,117,1.9,12.3,-7.3,2.3,11477
725000.00,Anthony Bass,Reliever,,R,Rangers,,,,,,,,,,,,,,,,,,,0.3,
800000.00,Jeanmar Gomez,Reliever,,R,Phillies,,,,,,,,,,,,,,,,,,,0.7,
800000.00,Daniel Hudson,Reliever,,R,Diamondbacks,,,,,,,,,,,,,,,,,,,0.6,
987500.00,Francisco Cervelli,C,R,,Pirates,130,510,7,56,43,1,9.00%,18.40%,0.106,0.359,0.295,0.37,0.401,0.341,119,-0.7,10.7,9.3,3.8,5275
1000000.00,Corey Kluber,SP,,R,,,,,,,,,,,,,,,,,,,,5.5,
1000000.00,Jose Quintana,SP,,L,,,,,,,,,,,,,,,,,,,,4.8,
1100000.00,Logan Forsythe,2B,R,,Rays,153,615,17,69,68,9,8.90%,18.00%,0.163,0.323,0.281,0.359,0.444,0.35,126,-1.7,16.6,1.8,4.1,7185
1312500.00,Cesar Ramos,Reliever,,L,Angels,,,,,,,,,,,,,,,,,,,0.6,
1333333.00,Starling Marte,OF,R,,Pirates,153,633,19,84,81,30,4.30%,19.40%,0.157,0.333,0.287,0.337,0.444,0.337,117,-1.2,11.3,2.8,3.6,9241
1370000.00,Fernando Salas,Reliever,,R,Angels,,,,,,,,,,,,,,,,,,,0.7,
1600000.00,Kelvin Herrera,Reliever,,R,Royals,,,,,,,,,,,,,,,,,,,0.6,
1725000.00,Al Alburquerque,Reliever,,R,Tigers,,,,,,,,,,,,,,,,,,,0.3,
2000000.00,Brian Dozier,2B,R,,Twins,157,704,28,101,77,12,8.70%,21.00%,0.209,0.261,0.236,0.307,0.444,0.323,103,3.1,5.4,3.7,3.4,9810
2250000.00,Junichi Tazawa,Reliever,,R,Red Sox,,,,,,,,,,,,,,,,,,,1.1,
2300000.00,Juan Nicasio,Reliever,,R,Dodgers,,,,,,,,,,,,,,,,,,,0.9,
2400000.00,Tony Sipp,Reliever,,L,Astros,,,,,,,,,,,,,,,,,,,1,
2475000.00,Brett Cecil,Reliever,,L,Blue Jays,,,,,,,,,,,,,,,,,,,1.4,
2500000.00,Dee Gordon,2B,L,,Marlins,145,653,4,88,46,58,3.80%,13.90%,0.085,0.383,0.333,0.359,0.418,0.337,113,4.9,14.6,8.6,4.6,8203
